indicador,sigma_p2,sigma_p3,delta_sigma2,share_gamma_p3,gamma_explica_delta
analf,0.337,0.321,0.01,0.143,14.3
sin_basica,0.239,0.219,0.009,0.085,9.44
sin_drenaje,0.782,0.545,0.315,0.228,0.72
sin_electr,0.656,0.551,0.126,0.117,0.93
sin_agua,0.741,0.65,0.126,0.096,0.76
piso_tierra,0.367,0.331,0.025,0.119,4.76
hacinam,0.356,0.346,0.007,0.189,27.0
loc_peq,0.195,0.188,0.003,0.01,3.33
ing_2sm,0.424,0.426,-0.001,0.118,118000.0
rezago_educ,0.02,0.028,-0.0,0.118,118000.0
car_salud,0.892,0.787,0.177,0.275,1.55
car_segsoc,0.607,0.545,0.071,0.104,1.46
car_vivienda,0.361,0.24,0.073,0.147,2.01
car_servbas,0.377,0.354,0.017,0.194,11.41
car_alim,0.822,0.782,0.065,0.153,2.35
lp_ingreso,0.033,0.041,-0.001,0.165,165000.0
lp_ingreso_ext,0.147,0.133,0.004,0.177,44.25
