,material,educativo,monetario
analf,0.8042114999550491,0.3043260652384225,-0.11165461992854869
sin_basica,0.7882718749781005,0.23201520865216513,0.23044416873475856
sin_drenaje,0.5472623704647429,-0.10969869803886853,-0.19130500188758479
sin_electr,0.7038632876815364,-0.04213253249900313,-0.22782634077633032
sin_agua,0.13774384471509893,-0.0006223018937022239,-0.0005140635395280271
piso_tierra,0.7377231791678398,0.32761570988029254,-0.2856432864770036
hacinam,0.6204902138167983,0.5078239568886845,-0.3706191294192852
loc_peq,0.6880427726346139,-0.07356984679863848,0.35892631403608455
ing_2sm,0.7026587174742521,0.5206272928503809,0.2349263372806072
rezago_educ,0.773404137533595,0.19536169311300622,0.13220147064098317
car_salud,-0.20298752024787853,0.01798077004758719,-0.19148420709493158
car_segsoc,0.6260717425976656,0.3396438920539675,0.05988235508110452
car_vivienda,0.7734375057304788,0.34600195652993876,-0.36396049750162457
car_servbas,0.8248667509754093,0.33537760210520295,-0.2087723513206992
car_alim,0.2970222502397619,0.258275461279465,-0.3816732163240058
lp_ingreso,0.5975545670794231,0.7292404472435411,-0.02454402203792589
lp_ingreso_ext,0.6326201249794067,0.6724811138545396,-0.05009073639888502
