factor,cola,cvegeo,municipio,estado,z_obs,z_pred_lentes,residual,lisa,remesas_pc,pob
material,satelite_subestima,20248,San Mateo del Mar,Oaxaca,1.88,-0.76,2.64,ns,0.9,15571
material,satelite_subestima,21052,Chigmecatitlán,Puebla,0.69,-1.23,1.93,ns,6.7,1215
material,satelite_subestima,07026,Chenalhó,Chiapas,1.98,0.09,1.9,ns,19.1,47371
material,satelite_subestima,20007,Asunción Ocotlán,Oaxaca,1.45,-0.43,1.88,AA,34.1,2395
material,satelite_subestima,07056,Mitontic,Chiapas,1.6,-0.27,1.87,ns,9.7,13755
material,satelite_subestima,07111,Zinacantán,Chiapas,1.38,-0.44,1.82,ns,4.3,45373
material,satelite_subestima,20284,San Miguel Tilquiápam,Oaxaca,1.68,-0.14,1.82,ns,0.6,3141
material,satelite_subestima,08008,Batopilas de Manuel Gómez Morín,Chihuahua,2.61,0.83,1.78,AA,3.8,11270
material,satelite_subestima,20087,San Agustín Yatareni,Oaxaca,0.37,-1.34,1.71,ns,960.8,5521
material,satelite_subestima,21148,Santa Isabel Cholula,Puebla,0.63,-1.07,1.7,AB,7.6,11498
material,satelite_subestima,12078,Cochoapa el Grande,Guerrero,2.62,0.93,1.69,ns,242.2,21241
material,satelite_subestima,30147,Soledad Atzompa,Veracruz,1.7,0.03,1.68,ns,43.9,24578
material,satelite_subestima,07082,Sitalá,Chiapas,2.27,0.6,1.67,ns,2.8,15518
material,satelite_subestima,07119,Santiago el Pinar,Chiapas,1.51,-0.16,1.67,ns,17.7,4959
material,satelite_subestima,20452,Santiago Apóstol,Oaxaca,1.16,-0.5,1.66,ns,11.3,4421
material,satelite_subestima,30127,La Perla,Veracruz,1.39,-0.27,1.65,ns,16.3,28258
material,satelite_subestima,08012,Carichí,Chihuahua,1.58,-0.05,1.64,AA,3.5,8113
material,satelite_subestima,30195,Xoxocotla,Veracruz,1.65,0.03,1.62,ns,60.2,5900
material,satelite_subestima,07074,Reforma,Chiapas,-0.2,-1.82,1.62,ns,70.2,44829
material,satelite_subestima,20099,San Andrés Tepetlapa,Oaxaca,1.13,-0.46,1.59,ns,26.5,381
material,mejor_de_lo_esperado,20035,Guelatao de Juárez,Oaxaca,-1.26,1.17,-2.44,ns,106.3,657
material,mejor_de_lo_esperado,19048,Santa Catarina,Nuevo León,-2.05,-0.13,-1.92,ns,138.5,306322
material,mejor_de_lo_esperado,14003,Ahualulco de Mercado,Jalisco,-1.53,0.35,-1.88,ns,2337.7,23630
material,mejor_de_lo_esperado,14007,San Juanito de Escobedo,Jalisco,-1.11,0.62,-1.73,ns,441.6,9433
material,mejor_de_lo_esperado,14055,Magdalena,Jalisco,-1.14,0.57,-1.72,ns,1315.4,21781
material,mejor_de_lo_esperado,14012,Atenguillo,Jalisco,-0.93,0.74,-1.67,ns,2514.9,4176
material,mejor_de_lo_esperado,19019,San Pedro Garza García,Nuevo León,-2.59,-0.93,-1.66,ns,188.6,132169
material,mejor_de_lo_esperado,05035,Torreón,Coahuila,-1.91,-0.26,-1.65,ns,239.5,720848
material,mejor_de_lo_esperado,18002,Ahuacatlán,Nayarit,-1.15,0.5,-1.65,ns,756.6,15393
material,mejor_de_lo_esperado,05030,Saltillo,Coahuila,-2.01,-0.39,-1.61,ns,94.9,879958
material,mejor_de_lo_esperado,09014,Benito Juárez,Ciudad de México,-2.93,-1.34,-1.58,ns,271.7,434153
material,mejor_de_lo_esperado,20247,Capulálpam de Méndez,Oaxaca,-1.02,0.56,-1.58,ns,0.9,1619
material,mejor_de_lo_esperado,14095,Teuchitlán,Jalisco,-1.13,0.44,-1.57,ns,724.5,9647
material,mejor_de_lo_esperado,18003,Amatlán de Cañas,Nayarit,-0.96,0.53,-1.5,ns,1803.9,11536
material,mejor_de_lo_esperado,19047,Hidalgo,Nuevo León,-1.68,-0.24,-1.45,ns,475.7,16086
material,mejor_de_lo_esperado,16051,Marcos Castellanos,Michoacán,-1.22,0.2,-1.43,ns,762.1,13983
material,mejor_de_lo_esperado,14110,Unión de Tula,Jalisco,-1.05,0.38,-1.42,ns,3091.0,13799
material,mejor_de_lo_esperado,18006,Ixtlán del Río,Nayarit,-1.42,-0.01,-1.4,ns,1849.7,29299
material,mejor_de_lo_esperado,20503,Santiago Zoochila,Oaxaca,-0.25,1.15,-1.4,BB,19.8,425
material,mejor_de_lo_esperado,14094,Tequila,Jalisco,-0.77,0.6,-1.37,ns,757.4,44353
monetario,satelite_subestima,20442,Santa María Yalina,Oaxaca,3.56,0.59,2.97,BB,62.7,250
monetario,satelite_subestima,08042,Manuel Benavides,Chihuahua,3.26,0.62,2.63,ns,23.2,1178
monetario,satelite_subestima,08054,Riva Palacio,Chihuahua,3.44,0.81,2.63,ns,6.4,7695
monetario,satelite_subestima,20047,Santa Magdalena Jicotlán,Oaxaca,3.14,0.71,2.43,BB,28.1,81
monetario,satelite_subestima,20223,San Juan Yatzona,Oaxaca,2.8,0.4,2.39,ns,3.2,440
monetario,satelite_subestima,20524,Santo Domingo Yodohino,Oaxaca,2.97,0.66,2.31,ns,7.3,327
monetario,satelite_subestima,26028,Granados,Sonora,2.14,-0.16,2.3,ns,18.0,1009
monetario,satelite_subestima,20473,Santiago Laxopa,Oaxaca,2.66,0.38,2.28,BB,5.8,1291
monetario,satelite_subestima,20463,Santiago Huauclilla,Oaxaca,2.2,-0.03,2.23,ns,6.8,525
monetario,satelite_subestima,20097,San Andrés Solaga,Oaxaca,2.51,0.3,2.21,ns,15.5,1771
monetario,satelite_subestima,20267,San Miguel del Río,Oaxaca,2.48,0.27,2.21,BB,11.1,245
monetario,satelite_subestima,20479,Santiago Nejapilla,Oaxaca,2.54,0.37,2.17,BB,0.0,174
monetario,satelite_subestima,20536,San Vicente Nuñú,Oaxaca,2.31,0.15,2.15,ns,4.0,449
monetario,satelite_subestima,20074,Santa Catarina Quioquitani,Oaxaca,2.02,-0.13,2.15,ns,45.6,456
monetario,satelite_subestima,30088,Jalcomulco,Veracruz,1.72,-0.43,2.15,ns,1.5,5054
monetario,satelite_subestima,20443,Santa María Yavesía,Oaxaca,2.36,0.24,2.11,BB,16.8,434
monetario,satelite_subestima,20209,San Juan Mixtepec -Dto. 26,Oaxaca,1.68,-0.38,2.06,ns,329.8,607
monetario,satelite_subestima,20419,Santa María Jaltianguis,Oaxaca,2.27,0.22,2.06,BB,22.1,592
monetario,satelite_subestima,20262,San Miguel Amatlán,Oaxaca,2.27,0.24,2.03,ns,4.9,991
monetario,satelite_subestima,30096,Landero y Coss,Veracruz,2.46,0.44,2.02,ns,21.2,1543
monetario,mejor_de_lo_esperado,12061,Tixtla de Guerrero,Guerrero,-1.89,0.6,-2.49,ns,350.3,43171
monetario,mejor_de_lo_esperado,05023,Ocampo,Coahuila,0.29,2.68,-2.39,ns,64.6,9642
monetario,mejor_de_lo_esperado,08027,Guachochi,Chihuahua,-1.59,0.75,-2.33,AA,21.3,50180
monetario,mejor_de_lo_esperado,08007,Balleza,Chihuahua,-0.99,1.16,-2.15,AA,377.5,16440
monetario,mejor_de_lo_esperado,10014,Mezquital,Durango,-2.24,-0.16,-2.07,AA,74.0,48583
monetario,mejor_de_lo_esperado,08012,Carichí,Chihuahua,-0.66,1.39,-2.05,AA,3.5,8113
monetario,mejor_de_lo_esperado,18009,Del Nayar,Nayarit,-1.7,0.3,-2.0,AA,75.0,47550
monetario,mejor_de_lo_esperado,26047,Pitiquito,Sonora,-0.78,1.18,-1.96,ns,52.7,9122
monetario,mejor_de_lo_esperado,12081,Iliatenco,Guerrero,-1.44,0.4,-1.84,ns,124.2,11679
monetario,mejor_de_lo_esperado,12041,Malinaltepec,Guerrero,-1.25,0.55,-1.81,ns,33.8,29625
monetario,mejor_de_lo_esperado,05007,Cuatro Ciénegas,Coahuila,-0.51,1.28,-1.8,ns,276.6,12715
monetario,mejor_de_lo_esperado,26041,Nacozari de García,Sonora,-1.06,0.68,-1.74,ns,379.2,14369
monetario,mejor_de_lo_esperado,12029,Chilpancingo de los Bravo,Guerrero,-1.87,-0.18,-1.68,ns,454.3,283354
monetario,mejor_de_lo_esperado,23009,Tulum,Quintana Roo,-2.32,-0.64,-1.68,ns,256.8,46721
monetario,mejor_de_lo_esperado,13053,San Bartolo Tutotepec,Hidalgo,-0.64,1.02,-1.66,ns,91.6,17699
monetario,mejor_de_lo_esperado,04010,Calakmul,Campeche,-1.37,0.26,-1.64,ns,170.9,31714
monetario,mejor_de_lo_esperado,26003,Alamos,Sonora,-1.29,0.34,-1.63,AA,283.1,24976
monetario,mejor_de_lo_esperado,12066,Tlapa de Comonfort,Guerrero,-1.77,-0.16,-1.61,ns,2168.0,96125
monetario,mejor_de_lo_esperado,19024,General Zaragoza,Nuevo León,-0.36,1.24,-1.6,ns,145.2,6282
monetario,mejor_de_lo_esperado,19049,Santiago,Nuevo León,-0.63,0.93,-1.56,ns,218.7,46784
