indicador,grupo,instrumento,modelado,calibrado_estatal,universo,gamma_abs_media,gamma_abs_sd_post,share_var_estatal
car_salud,CONEVAL directo,muestra censal (diseño),False,False,personas,0.439,0.025,0.275
sin_drenaje,CONAPO censal,censo básico (conteo completo),False,False,ocupantes viviendas,0.342,0.02,0.228
car_servbas,CONEVAL directo,muestra censal (diseño),False,False,personas,0.362,0.015,0.194
hacinam,CONAPO censal,censo básico (conteo completo),False,False,viviendas particulares,0.355,0.016,0.189
lp_ingreso_ext,CONEVAL SAE+calibrado,SAE (ENIGH+muestra) + calibración estatal,True,True,personas,0.359,0.016,0.177
lp_ingreso,CONEVAL SAE+calibrado,SAE (ENIGH+muestra) + calibración estatal,True,True,personas,0.352,0.016,0.165
car_alim,CONEVAL SAE+calibrado,SAE (ENIGH+muestra) + calibración estatal,True,True,personas,0.309,0.023,0.153
car_vivienda,CONEVAL directo,muestra censal (diseño),False,False,personas,0.29,0.017,0.147
analf,CONAPO censal,censo básico (conteo completo),False,False,población 15+,0.314,0.016,0.143
piso_tierra,CONAPO censal,censo básico (conteo completo),False,False,ocupantes viviendas,0.274,0.016,0.119
rezago_educ,CONEVAL directo,muestra censal (diseño),False,False,personas,0.265,0.014,0.118
ing_2sm,CONAPO muestra,muestra censal,False,False,población ocupada,0.295,0.016,0.118
sin_electr,CONAPO censal,censo básico (conteo completo),False,False,ocupantes viviendas,0.287,0.022,0.117
car_segsoc,CONEVAL SAE+calibrado,SAE (ENIGH+muestra) + calibración estatal,True,True,personas,0.267,0.018,0.104
sin_agua,CONAPO censal,censo básico (conteo completo),False,False,ocupantes viviendas,0.245,0.022,0.096
sin_basica,CONAPO censal,censo básico (conteo completo),False,False,población 15+,0.244,0.013,0.085
loc_peq,CONAPO censal,censo básico (conteo completo),False,False,población total,0.07,0.007,0.01
