indicador,factores,metodo,uniqueness
analf,0.6959902145322422,0.16839302880368823,0.13561675666406964
sin_basica,0.7588475463936114,0.1974381494549938,0.04371430415139482
sin_drenaje,0.31162788659832896,1.6849290694796675e-05,0.6883552641109761
sin_electr,0.5174559154533106,1.7098820566298247e-05,0.48252698572612307
sin_agua,0.018181709747280717,1.714808454711531e-05,0.9818011421681722
piso_tierra,0.7197004465231883,0.0,0.28029955347681157
hacinam,0.7659189964320241,0.0,0.23408100356797584
loc_peq,0.5618924589615841,0.0,0.4381075410384159
ing_2sm,0.8089915855310512,0.0,0.19100841446894878
rezago_educ,0.7276711430257525,0.20908679098228095,0.0632420659919665
car_salud,0.06346884481487221,0.0,0.9365311551851279
car_segsoc,0.49711877750282585,0.0,0.5028812224971742
car_vivienda,0.8404038443762357,1.677019480894342e-05,0.15957938542895528
car_servbas,0.8273709965782712,1.6599600587678736e-05,0.1726124038211412
car_alim,0.2753120589745115,0.0,0.7246879410254885
lp_ingreso,0.9335571167878618,0.06609487966728285,0.0003480035448553498
lp_ingreso_ext,0.9045715575772646,0.06585138234776834,0.02957706007496709
